webid,datetime,os,browser,response_time_ms,product,url
S_84,2019-08-19 12:00:00,win7,Firefox,3090,Shoes,https://www.ucshopping.com/apps/ucshopping/clientlibs/foundation/scripts/Personalization.js
W_16,2019-08-19 12:00:05,win7,IE,3125,Accessories,https://secure07b.ucshopping.com/web/auth/#/logon/recognizeUser/instructions
W_3,2019-08-19 12:00:31,win7,Chrome,2824,Sports,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1036322744/
W_20,2019-08-19 12:01:08,win7,Chrome,6706,Accessories,https://static.ucshoppingcdn.com/content/site-messages/digital-ui/en/messages.json
S_24,2019-08-19 12:01:09,win8,IE,977,Sports,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/app.json
S_80,2019-08-19 12:01:27,Mac,Firefox,4010,Shoes,https://i.liadm.com/s/31263
R_38,2019-08-19 12:02:11,Mac,Chrome,5971,Accessories,https://static.ucshoppingcdn.com/content/site-messages/digital-ui/en/messages.json
W_98,2019-08-19 12:02:30,xp,IE,7945,Accessories,https://static.ucshoppingcdn.com/web/2017.08.27-1385/blue-ui/dist/blue-ui/js/main.js
W_88,2019-08-19 12:02:34,Mac,Chrome,7807,Fashion,https://static.ucshoppingcdn.com/web/2017.08.27-1385/logonbox/js/boot.js
R_21,2019-08-19 12:02:41,win7,Safari,3491,Sports,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/main-ver.js
R_64,2019-08-19 12:02:46,win7,Chrome,2631,Accessories,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/accounts.json
W_82,2019-08-19 12:02:54,win7,Mobile,1280,Shoes,https://static.ucshoppingcdn.com/content/resource-bundles/digital-ui/1-8-0-23/en/bundles.json/PERSONAL/misc.json
W_21,2019-08-19 12:02:55,win7,IE,3089,Sports,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/main-ver.js
W_74,2019-08-19 12:03:03,win7,IE,5441,Accessories,https://static.ucshoppingcdn.com/web/library/blue-boot/dist/blue-boot/2.11.1/js/main-ver.js
R_65,2019-08-19 12:03:28,xp,Mobile,3764,Sports,https://rf15.ucshopping.com/activity
